,chapter,verse,translation,interpretation,orig
0,1,1,Basmala.,,
1,1,2,"Praise be to Allah, the Lord of all the worlds.",This verse praises and acknowledges Allah as the ultimate Lord and sustainer of all creations in the entire universe. It emphasizes the importance of recognizing and expressing gratitude to Allah for His endless blessings and mercy upon all realms of existence.,الحمد لله رب العالمين
2,1,3,"In the name of Allah, the Most Gracious, the Most Merciful.","This verse is recited at the beginning of most chapters in the Qur'an and it signifies the mercy and compassion of Allah, the Most Merciful. It serves as a reminder of Allah's attributes of mercy and grace, emphasizing His benevolence and kindness towards His creation.",الرحمن الرحيم
3,1,4,Owner of the Day of Judgment.,"This verse highlights the belief that Allah is the ultimate possessor and sovereign of the Day of Judgment, emphasizing His authority and power over all of creation. It serves as a reminder of the Day of Judgment when all individuals will be held accountable for their actions, and Allah's ultimate justice and wisdom will prevail.",مالك يوم الدين
4,1,5,"You alone we worship, and You alone we ask for help.","This verse emphasizes the concept of Tawheed (the Oneness of God) in Islam. It highlights the importance of worshipping Allah alone and seeking His help exclusively, acknowledging that all worship and reliance should be directed towards Him alone.",إياك نعبد وإياك نستعين
5,1,6,Guide us to the straight path.,"This verse is a plea to Allah to guide the believer to the right path, the path of righteousness and truth. It is a prayer for guidance in making the right choices and decisions in life, and for steadfastness in following the teachings of Islam.",اهدنا الصراط المستقيم
6,1,7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.","This verse is a prayer for guidance that Muslims recite multiple times a day in their prayers. It asks Allah to guide them on the path of those who have received His favor, and to keep them away from the paths of those who have angered Him or have gone astray. It underscores the importance of seeking divine guidance and avoiding behaviors or beliefs that are displeasing to Allah.",صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين
7,2,1,"Alif, Lam, Mim.","These letters are known as the disjointed letters (al-huruf al-muqatta'at) found at the beginning of certain chapters in the Qur'an. The exact meanings of these letters remain a mystery and scholars have proposed different interpretations over the centuries. Some believe that they are meant to draw the attention of the listeners to the miraculous nature of the Qur'an and to emphasize that the Qur'an is composed of the Arabic letters they are familiar with but arranged in a unique and inimitable way. Others suggest that they serve as a challenge to the Arabs at the time of revelation to bring a similar book if they doubt the divine origin of the Qur'an. Regardless of the exact meaning, these letters highlight the intricate and miraculous nature of the Qur'anic text.",الم
8,2,2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",This verse highlights the certainty and clarity of the guidance provided in the Qur'an for those who are mindful of Allah's teachings and boundaries. It emphasizes the importance of following the instructions and advice contained within the Qur'an for those seeking guidance and righteousness.,ذلك الكتاب لا ريب فيه هدى للمتقين
9,2,3,"Those who believe in the unseen, establish prayer, and spend out of what We have provided them.","This verse emphasizes the characteristics of the true believers who have faith in the unseen, are devoted to prayer, and are charitable in their spending. It highlights the importance of these acts of faith as essential components of a believer's life.",الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون
10,2,4,"And those who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].","This verse emphasizes the importance of belief in the revelations sent down to the Prophet Muhammad, peace be upon him, as well as the previous scriptures, and having unwavering faith in the Hereafter. It highlights the strong conviction and certainty that believers should have in the unseen aspects of the faith.",والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون
11,2,5,"They are on [right] guidance from their Lord, and it is those who are the successful.",This verse emphasizes that those who are guided by Allah are the truly successful ones. It reminds believers that true success lies in following the guidance from Allah and living a righteous life according to His commandments.,أولئك على هدى من ربهم وأولئك هم المفلحون
