,chapter,verse,translation,interpretation,orig
0,1,1,"In the name of Allah, the Most Gracious, the Most Merciful.","This verse is a declaration of the source of the revelation, emphasizing that the message of the Quran comes from a merciful and compassionate God, and that His guidance is rooted in love and kindness.",بسم الله الرحمن الرحيم
1,1,2,"Praise be to Allah, the Lord of the Worlds.","This verse is a declaration of the exclusive right of Allah to be worshipped and praised, emphasizing His sovereignty and dominion over all creation, and implying that all praise and gratitude belong to Him alone.",الحمد لله رب العالمين
2,1,3,"The Most Gracious, the Most Merciful.","This verse is a description of God's nature, emphasizing His infinite mercy and compassion, which are fundamental attributes of His character, and which are extended to all of humanity.",الرحمن الرحيم
3,1,4,Master of the Day of Judgment,"This title of God, 'Master of the Day of Judgment', signifies God's absolute authority and control over the ultimate destiny of humanity, emphasizing that He is the one who will judge and hold accountable every individual for their deeds on the Day of Judgment.",مالك يوم الدين
4,1,5,"You (alone) we worship, and You (alone) we ask for help.","The verse emphasizes the exclusive nature of worship and seeking help, highlighting the Oneness of God and the importance of directing all acts of worship and supplication solely to Him.",إياك نعبد وإياك نستعين
5,1,6,Guide us to the straight path,"The verse is a prayer to God to guide humanity to the path of righteousness and moral uprightness, indicating a deep sense of humility and recognition of one's need for divine guidance.",اهدنا الصراط المستقيم
6,1,7,"The path of those upon whom You have bestowed favor, not of those who earned Your anger nor of those who are astray.","The verse highlights the importance of following the path of those who have been blessed by God's favor, implying that their guidance and wisdom are a source of inspiration and a model to be emulated, and warning against following the paths of those who have earned God's anger or are lost and misguided.",صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين
7,2,1,These are the verses of the Wise Book.,"The verse is an affirmation of the authenticity and wisdom of the Quran, emphasizing that it is a book of divine guidance, and its verses are a source of wisdom and knowledge.",الم
8,2,2,"That is the Book, no doubt in it, a guide for the righteous.","The verse asserts the divine origin and authority of the Quran, emphasizing its role as a reliable guide for those who are God-conscious and committed to a life of righteousness.",ذلك الكتاب لا ريب فيه هدى للمتقين
9,2,3,Those who believe in the unseen and establish prayer and spend out of what We have provided them.,"The verse highlights the importance of demonstrating one's faith through actions, specifically by establishing a strong prayer habit and being charitable, as a natural consequence of believing in the unseen and being grateful for God's blessings.",الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون
10,2,4,"And those who believe in what has been revealed to you and what was revealed before you, and in the Hereafter they are certain.","This verse highlights the significance of having faith in the divine revelations, both past and present, and being confident in the existence of the Hereafter, which is a fundamental aspect of a believer's worldview.",والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون
11,2,5,"Those are upon guidance from their Lord, and those are the successful ones.","The verse is saying that those who are guided by God's will, as revealed through the prophets and scriptures, are the ones who will ultimately succeed and achieve true happiness and fulfillment in this life and the hereafter.",أولئك على هدى من ربهم وأولئك هم المفلحون
12,2,6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.","The verse highlights the stubbornness of those who reject faith, implying that they are so entrenched in their disbelief that even warnings or admonitions will not make a difference, and they will persist in their unbelief.",إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون
13,2,7,"God has set a seal on their hearts and on their hearing, and on their eyes is a covering, and for them is a great punishment.","The verse suggests that those who have rejected God's message have been spiritually blinded and hardened, and as a result, they are unable to understand or respond to the truth, and are thus doomed to suffer a severe punishment.",ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم
14,2,8,"And among mankind is he who says: 'We believe in Allah and the Last Day,' but they do not really believe.","This verse highlights the hypocrisy of those who claim to be believers but their actions and behavior contradict their claims, implying that their declaration of faith is mere lip service and lacks sincerity.",ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين
15,2,9,"They deceive Allah and those who believe, but they deceive not except themselves and they perceive not.","This verse highlights the futility of trying to deceive God, as those who attempt to do so are only deceiving themselves, and ultimately, they will face the consequences of their actions.",يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون
16,2,10,"In their hearts is a disease, so Allah has increased them in disease, and for them is a painful punishment because they used to lie.","This verse highlights the concept that those who reject the truth and lie about it will be afflicted with spiritual and moral decay, which will ultimately lead to their downfall, and their punishment will be a direct consequence of their own actions.",في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون
17,2,11,"And when it is said to them: 'Do not cause corruption on the earth,' they say: 'We are only reformers.'","This verse highlights the hypocrisy of those who claim to be working for the betterment of society, but in reality, their actions are causing harm and corruption, and they refuse to acknowledge their wrongdoing.",وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون
18,2,12,"Nay, they themselves are the Mufsidun, but they do not perceive.","The verse suggests that those who spread corruption and mischief are often unaware of the harm they are causing, and it is this lack of self-awareness that allows them to continue down a destructive path.",ألا إنهم هم المفسدون ولكن لا يشعرون
19,2,13,"And when it is said to them: 'Believe as the people believed,' they say: 'Shall we believe as the foolish have believed?' Ah, no! They are the foolish, but they do not know.","The verse highlights the arrogance and ignorance of those who reject faith, as they consider themselves superior to others and look down upon those who have already believed, unaware of their own foolishness and lack of understanding.",وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون
